label,link,last_commit_date,commits,today_date,Description,stars,watching,forks,language 1_language,language 1_percent,language 2_language,language 2_percent
shawwn/llama-dl,https://github.com//shawwn/llama-dl,03/08/23,29,03/09/23,"High-speed download of LLaMA, Facebook's 65B parameter GPT model",2.1k,43,218,Shell,100.0%,None,None
yetone/openai-translator,https://github.com//yetone/openai-translator,03/10/23,112,03/09/23,åŸºäº ChatGPT API çš„åˆ’è¯ç¿»è¯‘æµè§ˆå™¨æ’ä»¶å’Œè·¨å¹³å°æ¡Œé¢ç«¯åº”ç”¨ - Browser extension and cross-platform desktop application for translation based on ChatGPT API.,4.2k,35,228,TypeScript,91.9%,JavaScript,4.2%
TBXark/ChatGPT-Telegram-Workers,https://github.com//TBXark/ChatGPT-Telegram-Workers,03/09/23,237,03/09/23,Deploy your own Telegram ChatGPT bot on Cloudflare Workers with ease.,1.5k,13,246,JavaScript,98.3%,Makefile,1.7%
sindresorhus/awesome,https://github.com//sindresorhus/awesome,02/18/23,1080,03/09/23,"<g-emoji alias=""sunglasses"" class=""g-emoji"" fallback-src=""https://github.githubassets.com/images/icons/emoji/unicode/1f60e.png"">ğŸ˜</g-emoji> Awesome lists about all kinds of interesting topics",242k,7.5k,25.1k,None,None,None,None
RustPython/RustPython,https://github.com//RustPython/RustPython,03/09/23,12746,03/09/23,A Python Interpreter written in Rust,14.3k,152,945,Rust,83.4%,Python,15.5%
Bearer/bearer,https://github.com//Bearer/bearer,03/09/23,601,03/09/23,"Code security scanning tool (SAST) that discover, filter and prioritize security risks and vulnerabilities leading to sensitive data exposures (PII, PHI, PD).",597,11,20,C,99.1%,Go,0.9%
DataTalksClub/data-engineering-zoomcamp,https://github.com//DataTalksClub/data-engineering-zoomcamp,03/07/23,628,03/09/23,Free Data Engineering course!,12.7k,283,2.9k,Jupyter Notebook,53.2%,Java,24.8%
oobabooga/text-generation-webui,https://github.com//oobabooga/text-generation-webui,03/10/23,705,03/09/23,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",1.6k,29,127,Python,100.0%,None,None
zinclabs/zincsearch,https://github.com//zinclabs/zincsearch,03/08/23,496,03/09/23,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",14.3k,155,618,Go,93.4%,Vue,4.5%
ggerganov/whisper.cpp,https://github.com//ggerganov/whisper.cpp,03/07/23,486,03/09/23,Port of OpenAI's Whisper model in C/C++,8.8k,135,650,C,50.2%,C++,31.6%
easychen/openai-gpt-dev-notes-for-cn-developer,https://github.com//easychen/openai-gpt-dev-notes-for-cn-developer,03/09/23,14,03/09/23,å¦‚ä½•å¿«é€Ÿå¼€å‘ä¸€ä¸ªOpenAI/GPTåº”ç”¨ï¼šå›½å†…å¼€å‘è€…ç¬”è®°,285,10,13,None,None,None,None
mli/paper-reading,https://github.com//mli/paper-reading,01/11/23,155,03/09/23,æ·±åº¦å­¦ä¹ ç»å…¸ã€æ–°è®ºæ–‡é€æ®µç²¾è¯»,14.8k,473,1.5k,None,None,None,None
boson-ai/homepage,https://github.com//boson-ai/homepage,02/24/23,6,03/09/23,None,351,40,9,HTML,100.0%,None,None
NVlabs/prismer,https://github.com//NVlabs/prismer,03/09/23,17,03/09/23,"The implementation of ""Prismer: A Vision-Language Model with An Ensemble of Experts"".",577,11,25,Python,92.8%,Cuda,6.4%
WordAsImage/Word-As-Image,https://github.com//WordAsImage/Word-As-Image,03/09/23,5,03/09/23,None,459,75,10,None,None,None,None
reorx/awesome-chatgpt-api,https://github.com//reorx/awesome-chatgpt-api,03/09/23,76,03/09/23,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2.7k,56,120,None,None,None,None
PlexPt/awesome-chatgpt-prompts-zh,https://github.com//PlexPt/awesome-chatgpt-prompts-zh,03/07/23,84,03/09/23,ChatGPT ä¸­æ–‡è°ƒæ•™æŒ‡å—ã€‚å„ç§åœºæ™¯ä½¿ç”¨æŒ‡å—ã€‚å­¦ä¹ æ€ä¹ˆè®©å®ƒå¬ä½ çš„è¯ã€‚,13.3k,105,4.6k,None,None,None,None
facebook/react-native,https://github.com//facebook/react-native,03/09/23,26862,03/09/23,A framework for building native applications using React,108k,3.7k,23k,JavaScript,38.2%,Java,20.5%
moby/moby,https://github.com//moby/moby,03/10/23,45685,03/09/23,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,65.4k,3k,18.5k,Go,97.2%,Shell,1.6%
Blackymas/NSPanel_HA_Blueprint,https://github.com//Blackymas/NSPanel_HA_Blueprint,02/05/23,548,03/09/23,This allows you to configure your complete NSPanel via Blueprint with UI and without changing anything in the code,387,29,73,None,None,None,None
Avik-Jain/100-Days-Of-ML-Code,https://github.com//Avik-Jain/100-Days-Of-ML-Code,07/15/20,109,03/09/23,100 Days of ML Coding,40k,2.5k,9.9k,None,None,None,None
Developer-Y/cs-video-courses,https://github.com//Developer-Y/cs-video-courses,03/08/23,320,03/09/23,List of Computer Science courses with video lectures.,53.1k,1.7k,7.6k,None,None,None,None
futantan/OpenGpt,https://github.com//futantan/OpenGpt,03/09/23,55,03/09/23,None,382,8,23,TypeScript,90.6%,JavaScript,6.2%
fffaraz/awesome-cpp,https://github.com//fffaraz/awesome-cpp,03/09/23,1613,03/09/23,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",44.4k,2k,6.8k,None,None,None,None
alist-org/alist,https://github.com//alist-org/alist,03/09/23,1386,03/09/23,"<g-emoji alias=""card_index_dividers"" class=""g-emoji"" fallback-src=""https://github.githubassets.com/images/icons/emoji/unicode/1f5c2.png"">ğŸ—‚ï¸</g-emoji>A file list program that supports multiple storage, powered by Gin and Solidjs. / ä¸€ä¸ªæ”¯æŒå¤šå­˜å‚¨çš„æ–‡ä»¶åˆ—è¡¨ç¨‹åºï¼Œä½¿ç”¨ Gin å’Œ Solidjsã€‚    ",22.2k,123,3.1k,Go,99.5%,Other,0.5%
